,Family,rs10751768,rs11587434,rs2311859,rs3813795,rs6674129,rs6684903,rs7530353,rs10495786,rs116947984,rs3927971,rs6546191,rs72819762,rs73974034,rs10049135,rs1143671,rs1447826,rs17051772,rs17849995,rs55639070,rs62264176
11,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae,-0.1613,-0.2917,0.1629,-0.1332,-0.1465,-0.2689,-0.2631,0.1877,-0.2653,0.1946,0.2118,-0.2634,-0.2573,-0.1141,-0.1616,0.223,-0.2148,-0.1785,-0.1945,-0.2697
12,k__Bacteria;p__TM7;c__TM7-3;o__I025;f__Rs-045,-0.1725,-0.09104,0.06259,-0.07917,-0.05228,-0.1956,-0.09449,0.09287,-0.2074,0.1299,0.1296,-0.1726,-0.1966,-0.1456,-0.1368,0.08294,-0.1272,-0.1371,-0.09709,-0.1684
13,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,-0.1746,-0.09404,0.06415,-0.08064,-0.05414,-0.1982,-0.09679,0.09478,-0.2102,0.1318,0.1313,-0.175,-0.1992,-0.1472,-0.1384,0.08475,-0.1287,-0.1388,-0.09921,-0.1706
14,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae,-0.1827,-0.2028,0.1007,-0.1604,-0.1138,-0.2093,-0.1895,0.1173,-0.1909,0.1006,0.04181,-0.1384,-0.2786,-0.1645,-0.05697,0.24,-0.1093,-0.088,-0.09965,-0.2083
15,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae,-0.1907,-0.2054,0.1633,-0.1316,-0.1686,-0.2091,-0.1772,0.1471,-0.2149,0.1137,0.01833,-0.1795,-0.2061,-0.1709,-0.03784,0.1478,-0.1429,-0.04743,-0.05156,-0.1792
16,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae,-0.2052,-0.1312,0.1164,-0.1002,-0.119,-0.2342,-0.1262,0.1199,-0.2496,0.1589,0.1557,-0.2077,-0.1068,-0.117,-0.1616,0.1083,-0.1041,-0.1633,-0.1895,-0.2018
17,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae,-0.2204,-0.2406,0.1123,-0.1496,-0.1003,-0.2447,-0.2048,0.258,-0.2544,0.2813,0.1599,-0.2122,-0.2429,-0.1934,-0.1791,0.1698,-0.1642,-0.1743,-0.2141,-0.2101
18,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae,-0.2405,-0.1797,0.1395,-0.1242,-0.146,-0.276,-0.1635,0.1512,-0.2958,0.1912,0.1843,-0.246,-0.1592,-0.148,-0.1881,0.1379,-0.1328,-0.1916,-0.2196,-0.238
19,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae,-0.245,-0.2435,0.08466,0.06893,-0.05913,-0.1638,0.02987,0.06799,-0.2347,0.1332,-0.02115,-0.07368,-0.03389,0.002436,0.0383,0.05766,-0.04569,-0.1068,-0.07481,-0.1849
20,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae,-0.2805,0.04708,-0.04743,-0.1546,-0.01949,-0.1439,-0.1688,0.05589,-0.3037,0.09685,0.1333,0.007709,-0.333,-0.3153,-0.1333,0.2015,-0.2335,-0.07835,0.007496,-0.2027
21,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae],-0.3058,-0.589,0.4148,-0.285,-0.4562,-0.5173,-0.5684,0.3926,-0.851,0.4319,0.5379,-0.4965,-0.6456,-0.4923,-0.4403,0.3176,-0.4584,-0.4231,-0.4128,-0.5957
22,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
23,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
24,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
25,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
26,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae],-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
27,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
28,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
29,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
30,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
31,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
32,k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales;f__Victivallaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
33,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Isosphaeraceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
34,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
35,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
36,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
37,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondri,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
38,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfomicrobiaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
39,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
40,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
41,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
42,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
43,k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
44,k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16,-0.3188,-0.3697,0.2004,-0.199,-0.2269,-0.3743,-0.296,0.2545,-0.4089,0.2787,0.2533,-0.3393,-0.3835,-0.2515,-0.2427,0.2382,-0.231,-0.2552,-0.2783,-0.3236
45,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae,-0.3449,-0.2871,0.2035,-0.1857,-0.2169,-0.3977,-0.2522,0.2289,-0.428,0.2798,0.2098,-0.3557,-0.2669,-0.2246,-0.2682,0.2101,-0.2027,-0.275,-0.312,-0.2673
46,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae,-0.351,-0.1898,0.07307,-0.1422,-0.1062,-0.3699,-0.1606,0.133,-0.2385,0.2181,0.1168,-0.2663,-0.3379,-0.2998,-0.2671,0.1612,-0.1409,-0.271,-0.2664,-0.2726
47,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,-0.3672,-0.5186,0.3234,-0.2962,-0.353,-0.526,-0.4256,0.3171,-0.5636,0.3613,0.3128,-0.4686,-0.5323,-0.3201,-0.3195,0.3468,-0.3359,-0.3314,-0.3736,-0.4535
48,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,-0.3818,-0.4216,0.2249,-0.2208,-0.2133,-0.5253,-0.355,0.3235,-0.4156,0.3863,0.2336,-0.4632,-0.5277,-0.2391,-0.3159,0.265,-0.342,-0.3231,-0.3737,-0.4522
49,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,-0.4031,-0.8266,0.4336,-0.3942,-0.4912,-0.7759,-0.5689,0.5655,-0.8763,0.5837,0.6438,-0.6734,-0.673,-0.6182,-0.4206,0.5528,-0.2908,-0.5026,-0.5384,-0.6027
50,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,-0.4742,-0.5369,0.2485,-0.3063,-0.3298,-0.4457,-0.4404,0.3805,-0.5837,0.3253,0.3636,-0.4163,-0.5512,-0.3909,-0.3256,0.4051,-0.3087,-0.3388,-0.3806,-0.4695
51,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,-0.5077,-0.4786,0.2647,-0.2378,-0.2713,-0.5837,-0.3545,0.3254,-0.6265,0.4065,0.3451,-0.5208,-0.5913,-0.326,-0.3962,0.2975,-0.3323,-0.4046,-0.348,-0.5034
52,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,-0.5221,-0.6579,0.3801,-0.3795,-0.4594,-0.3067,-1.281,0.6301,-0.2961,0.6904,0.7525,-0.8378,-1.027,-0.6889,-0.3258,0.4734,-0.7587,-0.4876,-0.5856,-0.9748
53,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,-0.5397,-1.475,1.347,-1.165,-1.337,-1.869,-2.293,1.699,-0.6418,1.59,1.385,-2.162,-3.74,-2.013,-1.386,1.484,-2.198,-1.068,-0.8729,-1.527
54,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae,-0.5539,-0.6229,0.3687,-0.3712,-0.4748,-0.712,-0.529,0.4998,-0.7408,0.5281,0.5123,-0.6681,-0.8867,-0.5468,-0.5163,0.4585,-0.5546,-0.4279,-0.4507,-0.4838
55,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae,-0.6377,-0.7395,0.4007,-0.3979,-0.4539,-0.7485,-0.592,0.509,-0.8178,0.5574,0.5066,-0.6787,-0.7671,-0.5029,-0.4853,0.4764,-0.462,-0.5105,-0.5566,-0.6473
56,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,-0.6469,-0.7552,0.4022,-0.394,-0.5008,-0.7072,-0.5522,0.501,-0.8323,0.5487,0.6149,-0.719,-0.8877,-0.5317,-0.4568,0.592,-0.6289,-0.4801,-0.4142,-0.6157
57,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae,-0.6853,-0.4681,0.3238,-0.3078,-0.389,-0.6131,-0.5099,0.4124,-0.9436,0.4726,0.5245,-0.5028,-0.46,-0.5613,-0.5219,0.3833,-0.3437,-0.5017,-0.5505,-0.6185
58,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae,-0.6962,-0.7987,0.4211,-0.4601,-0.5311,-0.8259,-0.6548,0.5328,-1.056,0.5759,0.5707,-0.7125,-0.7057,-0.5453,-0.5494,0.6084,-0.4905,-0.5262,-0.6529,-0.6559
59,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,-0.7356,-0.4304,0.5326,-0.5066,-0.4855,-0.8558,-0.6662,0.6322,-0.888,0.6593,0.4191,-0.8438,-0.4692,-0.6833,-0.6099,0.4604,-0.4417,-0.6483,-0.8037,-0.7593
60,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae],-0.7767,-0.9739,0.6018,-0.5205,-0.7015,-1.067,-0.7992,0.6243,-1.138,0.7928,0.8118,-0.9466,-1.077,-0.7807,-0.7368,0.6731,-0.6364,-0.7075,-0.6962,-0.7847
61,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,-0.7857,-0.7751,0.3644,-0.3217,-0.3967,-0.8174,-0.4622,0.5138,-0.8014,0.5614,0.3729,-0.6249,-0.361,-0.364,-0.4612,0.3487,-0.2748,-0.5264,-0.7246,-0.7172
62,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,-0.8801,-0.964,0.4186,-0.5461,-0.6615,-0.9856,-0.8101,0.561,-1.101,0.688,0.6478,-0.7817,-0.8572,-0.7115,-0.6682,0.7626,-0.5215,-0.6313,-0.788,-0.761
63,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,-0.9259,-0.7076,0.6267,-0.659,-0.729,-0.8719,-0.7893,0.6225,-0.9929,0.7576,0.6061,-0.9096,-0.9726,-0.9271,-0.7567,0.7363,-0.8183,-0.7626,-0.6357,-0.7015
64,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,-0.9323,-0.9625,0.5787,-0.5651,-0.6236,-1.075,-0.8023,0.6965,-1.157,0.7494,0.6197,-0.9616,-1.091,-0.7621,-0.6232,0.6568,-0.6816,-0.6554,-0.664,-0.9276
65,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae,-0.9457,-0.9025,0.6062,-0.5357,-0.6574,-1.209,-0.8165,0.7055,-1.368,0.8242,0.7373,-1.048,-0.8651,-0.7636,-0.7613,0.6419,-0.6478,-0.7387,-0.8172,-0.8889
66,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae,-1.06,-1.4,0.7086,-0.7491,-0.9845,-1.029,-1.239,0.8351,-1.487,0.9659,1.111,-1.042,-1.246,-0.9155,-0.9694,0.8107,-0.8529,-0.8985,-1.02,-0.9639
67,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae,-1.08,-1.244,0.664,-0.6013,-0.7369,-1.26,-0.9268,0.8102,-1.369,0.92,0.7863,-1.137,-1.287,-0.7347,-0.8286,0.7538,-0.7298,-0.8636,-0.8809,-1.089
68,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,-1.093,-1.412,0.8806,-0.9821,-0.9626,-1.14,-1.057,1.039,-1.228,0.9474,1.163,-1.425,-1.274,-0.9263,-1.099,0.8562,-0.9227,-1.111,-1.169,-1.217
69,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae],-1.294,-1.271,0.7862,-0.7476,-0.8629,-1.504,-1.063,0.9385,-1.63,1.087,1.012,-1.354,-1.256,-0.9242,-0.9964,0.8701,-0.8416,-1.034,-1.152,-1.299
70,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae,-1.377,-1.895,1.054,-0.8998,-1.201,-2.045,-1.178,1.075,-2.134,1.193,1.072,-1.393,-1.97,-1.089,-1.045,1.226,-1.158,-1.129,-1.11,-1.592
71,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae,-1.526,-1.554,0.9166,-0.9022,-1.001,-1.772,-1.29,1.13,-1.919,1.274,1.148,-1.594,-1.688,-1.18,-1.131,1.054,-1.069,-1.18,-1.243,-1.531
72,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,-1.531,-2.893,2.023,-1.976,-2.109,-2.798,-2.878,2.31,-3.04,1.876,2.286,-2.578,-3.431,-2.378,-2.417,2.413,-2.219,-2.4,-2.842,-2.436
73,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae,-1.607,-2.476,1.2,-1.372,-1.56,-1.597,-2.244,1.609,-2.025,1.379,1.531,-1.908,-2.572,-1.738,-1.709,1.581,-1.543,-1.764,-1.973,-2.103
74,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae,-1.629,-1.651,0.7265,-0.995,-1.004,-1.72,-1.341,1.101,-1.792,1.389,1.364,-1.565,-2.078,-1.398,-1.326,1.061,-1.291,-1.164,-0.983,-1.308
75,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae,-1.908,-2.257,1.485,-1.589,-1.825,-2.57,-2.594,1.936,-2.565,1.984,1.991,-2.4,-3.423,-2.218,-2.151,1.829,-2.033,-2.076,-2.209,-2.447
76,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,-2.135,-2.483,1.178,-1.111,-1.319,-2.6,-1.794,1.715,-2.362,1.917,1.428,-2.07,-2.991,-1.598,-1.686,1.532,-1.47,-1.738,-1.739,-2.263
77,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,-2.739,-2.713,1.472,-1.563,-1.731,-3.181,-2.221,1.973,-3.464,2.403,2.205,-2.686,-2.975,-2.321,-1.992,1.903,-1.882,-2.066,-2.176,-2.813
